M=  1, N=4096, K=4096, cost=   0.063, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=  2, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=  3, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=  4, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=  5, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=  6, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=  7, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=  8, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M=  9, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 10, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 11, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 12, N=4096, K=4096, cost=   0.063, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 13, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 14, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 15, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 16, N=4096, K=4096, cost=   0.062, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 17, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 18, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 19, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 20, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 21, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 22, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 23, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 24, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 25, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 26, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 27, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 28, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 29, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 30, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 31, N=4096, K=4096, cost=   0.064, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 32, N=4096, K=4096, cost=   0.065, config=BLOCK_TILE_M= 32, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 33, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 34, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 35, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 36, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 37, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 38, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
M= 39, N=4096, K=4096, cost=   0.078, config=BLOCK_TILE_M= 16, BLOCK_TILE_N= 32, TILE_K= 16, THREAD_TILE_M=  4, THREAD_TILE_N=  4, IS_ALIGNED_M=  0
